center,linkers,porphyrins,gap,homo,lumo,energy
,2,2,1.123351548931,-9.4905,-8.3671,"(-126.503853627434, 'a.u.')"
Zn+2,2,2,1.278333460285,-9.6311,-8.3528,"(-125.781263092442, 'a.u.')"
Fe+2,2,2,0.190926114932,-8.9089,-0.3203806,"(-130.916918151921, 'a.u.')"
Ni+2,2,2,1.332113364474,-9.7417,-8.4096,"(-134.306189611017, 'a.u.')"
Co+2,2,2,0.006001144772,-9.3721,-0.3441971,"(-131.993250179576, 'a.u.')"
Cu+2,2,2,0.001106373341,-8.7025,-0.3197722,"(-132.422484008927, 'a.u.')"
,4,2,1.103733636903,-9.4913,-8.3875,"(-130.728887814337, 'a.u.')"
Zn+2,4,2,1.221475121685,-9.6125,-8.391,"(-130.006133333374, 'a.u.')"
Fe+2,4,2,0.191711040878,-8.9305,-0.3211439,"(-135.142132788114, 'a.u.')"
Ni+2,4,2,1.303407075359,-9.7274,-8.424,"(-138.531431817083, 'a.u.')"
Co+2,4,2,0.004274290462,-9.3846,-0.3447221,"(-136.218090256278, 'a.u.')"
Cu+2,4,2,4.8090821e-05,-8.7136,-0.3202159,"(-136.647306033136, 'a.u.')"
,6,2,1.106492554502,-9.5031,-8.3966,"(-134.955104998048, 'a.u.')"
Zn+2,6,2,1.217283700743,-9.6168,-8.3995,"(-134.232353048094, 'a.u.')"
Fe+2,6,2,0.194658284974,-8.9478,-0.3216731,"(-139.368233683263, 'a.u.')"
Ni+2,6,2,1.292517124856,-9.7234,-8.4309,"(-142.757550528882, 'a.u.')"
Co+2,6,2,0.003791729119,-9.3973,-0.3452048,"(-140.444199551615, 'a.u.')"
Cu+2,6,2,3.5848022e-05,-8.724,-0.3206006,"(-140.873506788891, 'a.u.')"
,2,3,0.934993959261,-9.4193,-8.4843,"(-191.375971638404, 'a.u.')"
Zn+2,2,3,1.071400977788,-9.5501,-8.4787,"(-190.291820366204, 'a.u.')"
Fe+2,2,3,0.242557480245,-8.9369,-0.3195099,"(-197.999758678502, 'a.u.')"
Ni+2,2,3,1.146782142946,-9.6726,-8.5258,"(-203.079144950803, 'a.u.')"
Co+2,2,3,0.004966310435,-9.3746,-0.344329,"(-199.609333003405, 'a.u.')"
Cu+2,2,3,0.000552736476,-8.7283,-0.3207372,"(-200.253360949584, 'a.u.')"
,4,3,0.912090172866,-9.4247,-8.5126,"(-199.825871412187, 'a.u.')"
Zn+2,4,3,1.033659525464,-9.5447,-8.511,"(-198.741677723043, 'a.u.')"
Fe+2,4,3,0.237275782835,-8.9596,-0.3205392,"(-206.449633156155, 'a.u.')"
Ni+2,4,3,1.11519095415,-9.6619,-8.5467,"(-211.528881334757, 'a.u.')"
Co+2,4,3,0.000302996391,-9.423,-0.3462779,"(-208.058342593341, 'a.u.')"
Cu+2,4,3,1.6900433e-05,-8.7451,-0.3213759,"(-208.703228155482, 'a.u.')"
,6,3,0.923145306448,-9.4455,-8.5224,"(-208.278303931096, 'a.u.')"
Zn+2,6,3,1.03425800688,-9.5557,-8.5214,"(-207.194127117302, 'a.u.')"
